Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 02748.bmp, PSNR, 22.816315, SSIM, 0.624189 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 02771.bmp, PSNR, 23.544884, SSIM, 0.551400 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 02834.bmp, PSNR, 27.427237, SSIM, 0.686748 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 03427.bmp, PSNR, 21.509647, SSIM, 0.519072 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 03769.bmp, PSNR, 21.783965, SSIM, 0.490264 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 03903.bmp, PSNR, 25.647037, SSIM, 0.656054 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 03945.bmp, PSNR, 20.770864, SSIM, 0.578264 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00001.bmp, PSNR, 29.812105, SSIM, 0.778331 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00004.bmp, PSNR, 15.364571, SSIM, 0.324151 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00013.bmp, PSNR, 19.693874, SSIM, 0.486140 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00021.bmp, PSNR, 25.072820, SSIM, 0.633411 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00026.bmp, PSNR, 28.455514, SSIM, 0.759132 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00102.bmp, PSNR, 22.489136, SSIM, 0.646925 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00135.bmp, PSNR, 23.304979, SSIM, 0.560315 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00883.bmp, PSNR, 28.252153, SSIM, 0.713156 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00888.bmp, PSNR, 23.014119, SSIM, 0.593568 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00947.bmp, PSNR, 16.628502, SSIM, 0.389215 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 01068.bmp, PSNR, 27.029945, SSIM, 0.702612 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 01712.bmp, PSNR, 18.933225, SSIM, 0.428675 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 02174.bmp, PSNR, 26.011654, SSIM, 0.659479 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 02748.bmp, PSNR, 23.826755, SSIM, 0.655221 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 02771.bmp, PSNR, 24.375970, SSIM, 0.585381 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 02834.bmp, PSNR, 28.582373, SSIM, 0.720497 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03427.bmp, PSNR, 22.134085, SSIM, 0.541511 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03769.bmp, PSNR, 22.347038, SSIM, 0.522533 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03903.bmp, PSNR, 26.493990, SSIM, 0.682796 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03945.bmp, PSNR, 21.864845, SSIM, 0.622813 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00001.bmp, PSNR, 30.710843, SSIM, 0.801812 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00004.bmp, PSNR, 15.653988, SSIM, 0.369554 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00013.bmp, PSNR, 20.129414, SSIM, 0.523057 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00021.bmp, PSNR, 25.943635, SSIM, 0.663677 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00026.bmp, PSNR, 29.371108, SSIM, 0.778053 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00102.bmp, PSNR, 23.627181, SSIM, 0.688167 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00135.bmp, PSNR, 24.117630, SSIM, 0.594281 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00883.bmp, PSNR, 28.828624, SSIM, 0.727427 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00888.bmp, PSNR, 23.689323, SSIM, 0.628601 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00947.bmp, PSNR, 17.250026, SSIM, 0.440693 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 01068.bmp, PSNR, 27.696784, SSIM, 0.720506 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 01712.bmp, PSNR, 19.393961, SSIM, 0.460889 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 02174.bmp, PSNR, 26.775156, SSIM, 0.675144 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 02748.bmp, PSNR, 24.895432, SSIM, 0.688432 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 02771.bmp, PSNR, 24.873917, SSIM, 0.613564 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 02834.bmp, PSNR, 29.494629, SSIM, 0.748318 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 03427.bmp, PSNR, 22.778083, SSIM, 0.571159 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 03769.bmp, PSNR, 23.006498, SSIM, 0.564102 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 03903.bmp, PSNR, 27.270832, SSIM, 0.707635 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 03945.bmp, PSNR, 22.853140, SSIM, 0.653650 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00001.bmp, PSNR, 31.617779, SSIM, 0.817835 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00004.bmp, PSNR, 16.007489, SSIM, 0.406421 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00013.bmp, PSNR, 20.555726, SSIM, 0.557537 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00021.bmp, PSNR, 26.689956, SSIM, 0.690027 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00026.bmp, PSNR, 30.410304, SSIM, 0.802667 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00102.bmp, PSNR, 24.446585, SSIM, 0.716238 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00135.bmp, PSNR, 24.648322, SSIM, 0.611791 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00883.bmp, PSNR, 29.401191, SSIM, 0.739770 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00888.bmp, PSNR, 24.235789, SSIM, 0.656394 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00947.bmp, PSNR, 17.717889, SSIM, 0.479750 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 01068.bmp, PSNR, 28.442513, SSIM, 0.744723 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 01712.bmp, PSNR, 19.987739, SSIM, 0.502002 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 02174.bmp, PSNR, 27.577836, SSIM, 0.695824 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 02748.bmp, PSNR, 25.915590, SSIM, 0.718266 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 02771.bmp, PSNR, 25.481950, SSIM, 0.638787 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 02834.bmp, PSNR, 30.071272, SSIM, 0.764454 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 03427.bmp, PSNR, 23.292770, SSIM, 0.594059 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 03769.bmp, PSNR, 23.488581, SSIM, 0.590074 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 03903.bmp, PSNR, 28.216221, SSIM, 0.737226 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 03945.bmp, PSNR, 23.736456, SSIM, 0.684766 
