Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:7.tif, PSNR:31.281502, SSIM:0.933030 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:8.tif, PSNR:35.215367, SSIM:0.936568 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:1.tif, PSNR:23.827317, SSIM:0.632231 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:2.tif, PSNR:27.956594, SSIM:0.780947 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:3.tif, PSNR:25.380658, SSIM:0.655998 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:4.tif, PSNR:28.393996, SSIM:0.761753 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:5.tif, PSNR:28.167211, SSIM:0.696855 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:6.tif, PSNR:28.131031, SSIM:0.796151 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:7.tif, PSNR:28.119095, SSIM:0.876065 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:8.tif, PSNR:29.685463, SSIM:0.816453 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:1.tif, PSNR:21.698612, SSIM:0.574213 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:1.tif, PSNR:28.584527, SSIM:0.858535 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:2.tif, PSNR:32.551757, SSIM:0.904163 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:3.tif, PSNR:31.065192, SSIM:0.878087 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:4.tif, PSNR:38.892939, SSIM:0.953314 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:5.tif, PSNR:36.354763, SSIM:0.898795 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:6.tif, PSNR:34.275836, SSIM:0.933991 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:7.tif, PSNR:32.183384, SSIM:0.939646 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:8.tif, PSNR:34.826336, SSIM:0.924889 
