Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00171.bmp, PSNR, 29.501336, SSIM, 0.860849 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00173.bmp, PSNR, 23.896277, SSIM, 0.666938 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00180.bmp, PSNR, 16.547392, SSIM, 0.273070 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00598.bmp, PSNR, 25.585882, SSIM, 0.821580 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00602.bmp, PSNR, 24.166805, SSIM, 0.684229 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00604.bmp, PSNR, 22.797750, SSIM, 0.506836 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00741.bmp, PSNR, 21.018102, SSIM, 0.469411 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00790.bmp, PSNR, 29.201829, SSIM, 0.887763 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00880.bmp, PSNR, 20.122775, SSIM, 0.494615 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00892.bmp, PSNR, 17.026618, SSIM, 0.430980 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 00986.bmp, PSNR, 26.658698, SSIM, 0.753172 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01544.bmp, PSNR, 17.120978, SSIM, 0.416951 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 01594.bmp, PSNR, 22.162067, SSIM, 0.550578 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03266.bmp, PSNR, 35.814567, SSIM, 0.921544 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03275.bmp, PSNR, 21.355367, SSIM, 0.571585 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03499.bmp, PSNR, 34.109639, SSIM, 0.898394 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 03906.bmp, PSNR, 27.597135, SSIM, 0.723754 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04076.bmp, PSNR, 20.993072, SSIM, 0.565231 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04519.bmp, PSNR, 18.162117, SSIM, 0.411956 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.050000, Image_name, 04735.bmp, PSNR, 28.176113, SSIM, 0.776193 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00171.bmp, PSNR, 34.078447, SSIM, 0.931805 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00173.bmp, PSNR, 27.239488, SSIM, 0.770576 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00180.bmp, PSNR, 17.857101, SSIM, 0.422927 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00598.bmp, PSNR, 31.295198, SSIM, 0.919967 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 00602.bmp, PSNR, 27.129308, SSIM, 0.816197 
