Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 1.tif, PSNR, 24.323114, SSIM, 0.613528 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 2.tif, PSNR, 27.315194, SSIM, 0.734135 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 3.tif, PSNR, 26.010020, SSIM, 0.665659 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 4.tif, PSNR, 33.808646, SSIM, 0.888162 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 5.tif, PSNR, 31.722652, SSIM, 0.828692 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 6.tif, PSNR, 28.259866, SSIM, 0.774362 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 7.tif, PSNR, 25.949346, SSIM, 0.759916 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 8.tif, PSNR, 31.175796, SSIM, 0.849539 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 1.tif, PSNR, 24.814600, SSIM, 0.637335 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 2.tif, PSNR, 28.069805, SSIM, 0.759091 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 3.tif, PSNR, 27.068462, SSIM, 0.696113 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 4.tif, PSNR, 34.867337, SSIM, 0.902712 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 5.tif, PSNR, 32.805340, SSIM, 0.849232 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 6.tif, PSNR, 29.063168, SSIM, 0.793314 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 7.tif, PSNR, 26.730258, SSIM, 0.778439 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 8.tif, PSNR, 32.286937, SSIM, 0.866321 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 1.tif, PSNR, 22.850586, SSIM, 0.550476 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 2.tif, PSNR, 24.336996, SSIM, 0.630813 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 3.tif, PSNR, 22.613207, SSIM, 0.573111 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 4.tif, PSNR, 29.997843, SSIM, 0.828928 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 5.tif, PSNR, 27.616959, SSIM, 0.746869 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 6.tif, PSNR, 25.081125, SSIM, 0.686478 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 7.tif, PSNR, 21.875526, SSIM, 0.639132 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 8.tif, PSNR, 25.848687, SSIM, 0.749001 
