Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 30.222130, SSIM, 0.860257 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 29.119020, SSIM, 0.844626 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 36.563085, SSIM, 0.931737 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 34.756766, SSIM, 0.884109 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 31.201621, SSIM, 0.885662 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 29.662757, SSIM, 0.902954 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 33.348772, SSIM, 0.908355 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 25.950815, SSIM, 0.749633 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 30.222130, SSIM, 0.860257 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 29.119020, SSIM, 0.844626 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 36.563085, SSIM, 0.931737 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 34.756766, SSIM, 0.884109 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 31.201621, SSIM, 0.885662 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 29.662757, SSIM, 0.902954 
Denoiser, DnCNN_20Layers_10cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 33.348772, SSIM, 0.908355 
