Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00238.bmp, PSNR, 18.262505, SSIM, 0.651492 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00467.bmp, PSNR, 22.342475, SSIM, 0.633981 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00641.bmp, PSNR, 24.394425, SSIM, 0.584034 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00766.bmp, PSNR, 21.457862, SSIM, 0.618156 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00767.bmp, PSNR, 26.749128, SSIM, 0.703736 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01034.bmp, PSNR, 34.227421, SSIM, 0.896029 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01631.bmp, PSNR, 24.397758, SSIM, 0.609830 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01660.bmp, PSNR, 24.729568, SSIM, 0.688323 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02827.bmp, PSNR, 27.129693, SSIM, 0.782339 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02913.bmp, PSNR, 23.707574, SSIM, 0.544130 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03083.bmp, PSNR, 24.536468, SSIM, 0.747808 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03581.bmp, PSNR, 31.830389, SSIM, 0.862144 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03766.bmp, PSNR, 24.515325, SSIM, 0.666063 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03907.bmp, PSNR, 28.828925, SSIM, 0.710868 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04134.bmp, PSNR, 33.311340, SSIM, 0.913215 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04576.bmp, PSNR, 29.888483, SSIM, 0.888266 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04582.bmp, PSNR, 23.620827, SSIM, 0.700792 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04694.bmp, PSNR, 30.053785, SSIM, 0.826701 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04695.bmp, PSNR, 30.700544, SSIM, 0.795898 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04699.bmp, PSNR, 30.364021, SSIM, 0.799048 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00238.bmp, PSNR, 22.768519, SSIM, 0.815496 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00467.bmp, PSNR, 25.695667, SSIM, 0.786802 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00641.bmp, PSNR, 26.493390, SSIM, 0.705988 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00766.bmp, PSNR, 24.344099, SSIM, 0.753401 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00767.bmp, PSNR, 28.948682, SSIM, 0.784523 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01034.bmp, PSNR, 37.020403, SSIM, 0.930421 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01631.bmp, PSNR, 26.642752, SSIM, 0.725195 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01660.bmp, PSNR, 28.336279, SSIM, 0.832510 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02827.bmp, PSNR, 29.679281, SSIM, 0.854152 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02913.bmp, PSNR, 25.445393, SSIM, 0.652086 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03083.bmp, PSNR, 27.685900, SSIM, 0.854470 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03581.bmp, PSNR, 34.819314, SSIM, 0.906806 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03766.bmp, PSNR, 28.305116, SSIM, 0.809053 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03907.bmp, PSNR, 30.510746, SSIM, 0.775580 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04134.bmp, PSNR, 37.629655, SSIM, 0.955736 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04576.bmp, PSNR, 34.442999, SSIM, 0.944572 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04582.bmp, PSNR, 27.326021, SSIM, 0.831406 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04694.bmp, PSNR, 33.345867, SSIM, 0.900014 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04695.bmp, PSNR, 33.351648, SSIM, 0.859853 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04699.bmp, PSNR, 32.857004, SSIM, 0.861381 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00238.bmp, PSNR, 25.674477, SSIM, 0.885673 
