Denoiser, BM3D, Rate, 0.150000, Image_name, 03848.bmp, PSNR, 41.814256, SSIM, 0.973474 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03896.bmp, PSNR, 36.435203, SSIM, 0.918886 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04224.bmp, PSNR, 20.111604, SSIM, 0.498682 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04474.bmp, PSNR, 26.755607, SSIM, 0.812854 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00524.bmp, PSNR, 30.713758, SSIM, 0.859399 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00548.bmp, PSNR, 35.675258, SSIM, 0.928486 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00794.bmp, PSNR, 31.588915, SSIM, 0.922346 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01078.bmp, PSNR, 28.540213, SSIM, 0.901998 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01102.bmp, PSNR, 29.503539, SSIM, 0.801326 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01112.bmp, PSNR, 25.908357, SSIM, 0.687069 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01792.bmp, PSNR, 35.640259, SSIM, 0.928146 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01847.bmp, PSNR, 26.513538, SSIM, 0.831321 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01888.bmp, PSNR, 36.835677, SSIM, 0.949700 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02309.bmp, PSNR, 40.351757, SSIM, 0.972501 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02514.bmp, PSNR, 22.119370, SSIM, 0.564477 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02515.bmp, PSNR, 28.951554, SSIM, 0.693570 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03143.bmp, PSNR, 30.302931, SSIM, 0.926572 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03152.bmp, PSNR, 30.470553, SSIM, 0.903346 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03168.bmp, PSNR, 23.200264, SSIM, 0.567055 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03584.bmp, PSNR, 27.052515, SSIM, 0.798165 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03848.bmp, PSNR, 43.389008, SSIM, 0.979774 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03896.bmp, PSNR, 37.634027, SSIM, 0.933966 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04224.bmp, PSNR, 20.772625, SSIM, 0.553763 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04474.bmp, PSNR, 28.796339, SSIM, 0.873795 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00524.bmp, PSNR, 32.120810, SSIM, 0.891191 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00548.bmp, PSNR, 37.284923, SSIM, 0.948424 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00794.bmp, PSNR, 33.481529, SSIM, 0.945511 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01078.bmp, PSNR, 30.337992, SSIM, 0.929866 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01102.bmp, PSNR, 30.820263, SSIM, 0.838415 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01112.bmp, PSNR, 26.900428, SSIM, 0.736131 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01792.bmp, PSNR, 37.454780, SSIM, 0.949820 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01847.bmp, PSNR, 28.173365, SSIM, 0.873632 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01888.bmp, PSNR, 38.795705, SSIM, 0.966984 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02309.bmp, PSNR, 42.189954, SSIM, 0.979864 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02514.bmp, PSNR, 22.882533, SSIM, 0.626746 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02515.bmp, PSNR, 29.722847, SSIM, 0.731922 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03143.bmp, PSNR, 32.490957, SSIM, 0.950554 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03152.bmp, PSNR, 32.684532, SSIM, 0.940793 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03168.bmp, PSNR, 23.691399, SSIM, 0.580584 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03584.bmp, PSNR, 28.594297, SSIM, 0.847523 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03848.bmp, PSNR, 44.456486, SSIM, 0.982996 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03896.bmp, PSNR, 38.665999, SSIM, 0.944901 
