Denoiser, BM3D, Rate, 0.150000, Image_name, 04582.bmp, PSNR, 27.302730, SSIM, 0.825379 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04694.bmp, PSNR, 34.223021, SSIM, 0.912604 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04695.bmp, PSNR, 33.847142, SSIM, 0.868234 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04699.bmp, PSNR, 33.574079, SSIM, 0.873210 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00238.bmp, PSNR, 23.385137, SSIM, 0.824953 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00467.bmp, PSNR, 28.945805, SSIM, 0.882443 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00641.bmp, PSNR, 28.277363, SSIM, 0.780180 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00766.bmp, PSNR, 26.274334, SSIM, 0.805060 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00767.bmp, PSNR, 30.458287, SSIM, 0.830705 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01034.bmp, PSNR, 39.296422, SSIM, 0.952206 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01631.bmp, PSNR, 28.213412, SSIM, 0.787736 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01660.bmp, PSNR, 32.207154, SSIM, 0.920399 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02827.bmp, PSNR, 31.245690, SSIM, 0.871030 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02913.bmp, PSNR, 26.809024, SSIM, 0.716564 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03083.bmp, PSNR, 29.972765, SSIM, 0.891899 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03581.bmp, PSNR, 37.280903, SSIM, 0.936168 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03766.bmp, PSNR, 31.648545, SSIM, 0.890100 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03907.bmp, PSNR, 31.604465, SSIM, 0.808155 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04134.bmp, PSNR, 40.140669, SSIM, 0.970053 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04576.bmp, PSNR, 37.034377, SSIM, 0.960308 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04582.bmp, PSNR, 29.532229, SSIM, 0.880894 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04694.bmp, PSNR, 36.087448, SSIM, 0.937938 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04695.bmp, PSNR, 35.176799, SSIM, 0.894249 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04699.bmp, PSNR, 34.805798, SSIM, 0.897400 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00238.bmp, PSNR, 25.236784, SSIM, 0.872540 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00467.bmp, PSNR, 30.656949, SSIM, 0.915397 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00641.bmp, PSNR, 29.604278, SSIM, 0.832501 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00766.bmp, PSNR, 27.643484, SSIM, 0.844058 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00767.bmp, PSNR, 31.556742, SSIM, 0.858791 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01034.bmp, PSNR, 40.446816, SSIM, 0.961234 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01631.bmp, PSNR, 29.411974, SSIM, 0.831024 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01660.bmp, PSNR, 34.030580, SSIM, 0.945501 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02827.bmp, PSNR, 32.729077, SSIM, 0.900048 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02913.bmp, PSNR, 27.927975, SSIM, 0.775238 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03083.bmp, PSNR, 31.932633, SSIM, 0.925977 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03581.bmp, PSNR, 38.722404, SSIM, 0.950981 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03766.bmp, PSNR, 33.329025, SSIM, 0.919993 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03907.bmp, PSNR, 32.470107, SSIM, 0.836104 
Denoiser, BM3D, Rate, 0.250000, Image_name, 04134.bmp, PSNR, 42.069521, SSIM, 0.978520 
Denoiser, BM3D, Rate, 0.250000, Image_name, 04576.bmp, PSNR, 38.973857, SSIM, 0.971330 
Denoiser, BM3D, Rate, 0.250000, Image_name, 04582.bmp, PSNR, 31.200775, SSIM, 0.912101 
Denoiser, BM3D, Rate, 0.250000, Image_name, 04694.bmp, PSNR, 37.640407, SSIM, 0.953851 
Denoiser, BM3D, Rate, 0.250000, Image_name, 04695.bmp, PSNR, 36.331795, SSIM, 0.915770 
Denoiser, BM3D, Rate, 0.250000, Image_name, 04699.bmp, PSNR, 35.866624, SSIM, 0.917564 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00238.bmp, PSNR, 27.155665, SSIM, 0.911513 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00467.bmp, PSNR, 32.272300, SSIM, 0.938725 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00641.bmp, PSNR, 30.856592, SSIM, 0.872371 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00766.bmp, PSNR, 29.104796, SSIM, 0.878888 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00767.bmp, PSNR, 32.637842, SSIM, 0.886289 
Denoiser, BM3D, Rate, 0.300000, Image_name, 01034.bmp, PSNR, 41.696909, SSIM, 0.969894 
Denoiser, BM3D, Rate, 0.300000, Image_name, 01631.bmp, PSNR, 30.482821, SSIM, 0.862520 
Denoiser, BM3D, Rate, 0.300000, Image_name, 01660.bmp, PSNR, 35.686807, SSIM, 0.961471 
Denoiser, BM3D, Rate, 0.300000, Image_name, 02827.bmp, PSNR, 34.535330, SSIM, 0.928156 
Denoiser, BM3D, Rate, 0.300000, Image_name, 02913.bmp, PSNR, 28.869482, SSIM, 0.813720 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03083.bmp, PSNR, 33.905124, SSIM, 0.947868 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03581.bmp, PSNR, 39.987945, SSIM, 0.962158 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03766.bmp, PSNR, 34.892180, SSIM, 0.940328 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03907.bmp, PSNR, 33.432633, SSIM, 0.862576 
Denoiser, BM3D, Rate, 0.300000, Image_name, 04134.bmp, PSNR, 43.709120, SSIM, 0.983692 
Denoiser, BM3D, Rate, 0.300000, Image_name, 04576.bmp, PSNR, 40.566855, SSIM, 0.977257 
Denoiser, BM3D, Rate, 0.300000, Image_name, 04582.bmp, PSNR, 32.703248, SSIM, 0.930457 
Denoiser, BM3D, Rate, 0.300000, Image_name, 04694.bmp, PSNR, 39.253387, SSIM, 0.966105 
Denoiser, BM3D, Rate, 0.300000, Image_name, 04695.bmp, PSNR, 37.730341, SSIM, 0.937138 
Denoiser, BM3D, Rate, 0.300000, Image_name, 04699.bmp, PSNR, 36.782390, SSIM, 0.931036 
