Denoiser, BM3D, Rate, 0.050000, Image_name, 00001.bmp, PSNR, 30.185924, SSIM, 0.818916 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00004.bmp, PSNR, 13.893706, SSIM, 0.210973 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00013.bmp, PSNR, 18.164044, SSIM, 0.418199 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00021.bmp, PSNR, 25.587301, SSIM, 0.700474 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00026.bmp, PSNR, 27.993357, SSIM, 0.827921 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00102.bmp, PSNR, 22.103847, SSIM, 0.694487 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00135.bmp, PSNR, 22.057355, SSIM, 0.602167 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00883.bmp, PSNR, 27.564067, SSIM, 0.752380 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00888.bmp, PSNR, 21.548989, SSIM, 0.554697 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00947.bmp, PSNR, 15.120298, SSIM, 0.310856 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01068.bmp, PSNR, 25.403233, SSIM, 0.713272 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01712.bmp, PSNR, 17.192003, SSIM, 0.346517 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02174.bmp, PSNR, 25.154742, SSIM, 0.748191 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02748.bmp, PSNR, 25.697496, SSIM, 0.788694 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02771.bmp, PSNR, 23.364203, SSIM, 0.598693 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02834.bmp, PSNR, 28.732584, SSIM, 0.748799 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03427.bmp, PSNR, 20.996493, SSIM, 0.568090 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03769.bmp, PSNR, 20.741786, SSIM, 0.458820 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03903.bmp, PSNR, 27.319461, SSIM, 0.785753 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03945.bmp, PSNR, 21.897388, SSIM, 0.723265 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00001.bmp, PSNR, 34.369672, SSIM, 0.907929 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00004.bmp, PSNR, 15.116804, SSIM, 0.305774 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00013.bmp, PSNR, 19.821257, SSIM, 0.536151 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00021.bmp, PSNR, 31.332069, SSIM, 0.863923 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00026.bmp, PSNR, 31.799772, SSIM, 0.901506 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00102.bmp, PSNR, 27.704912, SSIM, 0.867191 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00135.bmp, PSNR, 25.437321, SSIM, 0.748590 
