Denoiser, BM3D, Rate, 0.050000, Image_name, 00171.bmp, PSNR, 29.318085, SSIM, 0.860040 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00173.bmp, PSNR, 22.521923, SSIM, 0.599332 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00180.bmp, PSNR, 16.735487, SSIM, 0.337078 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00598.bmp, PSNR, 23.679211, SSIM, 0.762361 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00602.bmp, PSNR, 23.653062, SSIM, 0.649048 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00604.bmp, PSNR, 22.695982, SSIM, 0.499329 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00741.bmp, PSNR, 21.228410, SSIM, 0.490608 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00790.bmp, PSNR, 28.403828, SSIM, 0.878813 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00880.bmp, PSNR, 18.779520, SSIM, 0.387195 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00892.bmp, PSNR, 16.730491, SSIM, 0.400866 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00986.bmp, PSNR, 26.061564, SSIM, 0.730917 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01544.bmp, PSNR, 17.324995, SSIM, 0.467577 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01594.bmp, PSNR, 21.910436, SSIM, 0.540360 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03266.bmp, PSNR, 34.572395, SSIM, 0.913363 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03275.bmp, PSNR, 21.175538, SSIM, 0.551604 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03499.bmp, PSNR, 32.628919, SSIM, 0.881305 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03906.bmp, PSNR, 26.570346, SSIM, 0.694144 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04076.bmp, PSNR, 20.764706, SSIM, 0.547188 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04519.bmp, PSNR, 17.397756, SSIM, 0.367461 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04735.bmp, PSNR, 29.270366, SSIM, 0.809110 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00171.bmp, PSNR, 33.575589, SSIM, 0.928767 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00173.bmp, PSNR, 24.921156, SSIM, 0.694615 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00180.bmp, PSNR, 24.119638, SSIM, 0.830267 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00598.bmp, PSNR, 29.339808, SSIM, 0.898750 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00602.bmp, PSNR, 26.269629, SSIM, 0.767739 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00604.bmp, PSNR, 24.585309, SSIM, 0.616635 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00741.bmp, PSNR, 24.039275, SSIM, 0.674800 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00790.bmp, PSNR, 35.080534, SSIM, 0.960948 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00880.bmp, PSNR, 24.688615, SSIM, 0.759124 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00892.bmp, PSNR, 21.302820, SSIM, 0.700422 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00986.bmp, PSNR, 30.421924, SSIM, 0.873423 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01544.bmp, PSNR, 21.431921, SSIM, 0.701057 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01594.bmp, PSNR, 23.519927, SSIM, 0.608948 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03266.bmp, PSNR, 38.388189, SSIM, 0.945225 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03275.bmp, PSNR, 23.465864, SSIM, 0.676335 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03499.bmp, PSNR, 37.517181, SSIM, 0.940008 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03906.bmp, PSNR, 30.426832, SSIM, 0.819593 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04076.bmp, PSNR, 23.058337, SSIM, 0.657381 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04519.bmp, PSNR, 19.516739, SSIM, 0.503357 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04735.bmp, PSNR, 32.863978, SSIM, 0.892320 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00171.bmp, PSNR, 36.174661, SSIM, 0.951777 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00173.bmp, PSNR, 27.266398, SSIM, 0.768921 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00180.bmp, PSNR, 25.854465, SSIM, 0.882555 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00598.bmp, PSNR, 32.682967, SSIM, 0.941553 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00602.bmp, PSNR, 29.002891, SSIM, 0.868144 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00604.bmp, PSNR, 26.126459, SSIM, 0.707364 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00741.bmp, PSNR, 28.246944, SSIM, 0.860388 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00790.bmp, PSNR, 39.356416, SSIM, 0.981447 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00880.bmp, PSNR, 28.548541, SSIM, 0.885560 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00892.bmp, PSNR, 23.798579, SSIM, 0.798291 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00986.bmp, PSNR, 33.747122, SSIM, 0.936007 
