Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00790.bmp, PSNR, 26.759727, SSIM, 0.700670 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00880.bmp, PSNR, 23.295421, SSIM, 0.616516 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00892.bmp, PSNR, 17.141711, SSIM, 0.370952 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00986.bmp, PSNR, 25.783782, SSIM, 0.622943 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01544.bmp, PSNR, 16.903361, SSIM, 0.375990 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01594.bmp, PSNR, 23.865081, SSIM, 0.584272 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03266.bmp, PSNR, 27.781581, SSIM, 0.603267 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03275.bmp, PSNR, 22.408589, SSIM, 0.563030 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03499.bmp, PSNR, 27.293032, SSIM, 0.549682 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03906.bmp, PSNR, 25.682050, SSIM, 0.551680 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04076.bmp, PSNR, 21.731900, SSIM, 0.463271 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04519.bmp, PSNR, 17.536969, SSIM, 0.335591 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04735.bmp, PSNR, 27.061373, SSIM, 0.668486 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00171.bmp, PSNR, 28.707119, SSIM, 0.731611 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00173.bmp, PSNR, 25.454338, SSIM, 0.625912 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00180.bmp, PSNR, 22.965155, SSIM, 0.802707 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00598.bmp, PSNR, 27.134913, SSIM, 0.725264 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00602.bmp, PSNR, 25.774822, SSIM, 0.653325 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00604.bmp, PSNR, 24.766680, SSIM, 0.625244 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00741.bmp, PSNR, 23.824509, SSIM, 0.621251 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00790.bmp, PSNR, 28.978130, SSIM, 0.786172 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00880.bmp, PSNR, 25.250628, SSIM, 0.718809 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00892.bmp, PSNR, 23.336127, SSIM, 0.709856 
