Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01660.bmp, PSNR, 25.115864, SSIM, 0.669281 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 02827.bmp, PSNR, 24.976027, SSIM, 0.501286 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 02913.bmp, PSNR, 22.818765, SSIM, 0.455504 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03083.bmp, PSNR, 23.712373, SSIM, 0.516799 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03581.bmp, PSNR, 29.130171, SSIM, 0.683416 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03766.bmp, PSNR, 24.185114, SSIM, 0.575672 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03907.bmp, PSNR, 25.865020, SSIM, 0.500844 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04134.bmp, PSNR, 26.890201, SSIM, 0.556719 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04576.bmp, PSNR, 26.029474, SSIM, 0.607995 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04582.bmp, PSNR, 24.513369, SSIM, 0.649620 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04694.bmp, PSNR, 25.832369, SSIM, 0.528218 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04695.bmp, PSNR, 27.735338, SSIM, 0.606671 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04699.bmp, PSNR, 26.242006, SSIM, 0.541263 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00238.bmp, PSNR, 14.402671, SSIM, 0.323523 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00467.bmp, PSNR, 25.257967, SSIM, 0.743601 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00641.bmp, PSNR, 25.565748, SSIM, 0.624571 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00766.bmp, PSNR, 24.631945, SSIM, 0.706082 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00767.bmp, PSNR, 27.346293, SSIM, 0.660698 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01034.bmp, PSNR, 31.132494, SSIM, 0.744145 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01631.bmp, PSNR, 25.829499, SSIM, 0.669727 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01660.bmp, PSNR, 27.431438, SSIM, 0.779164 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 02827.bmp, PSNR, 26.738331, SSIM, 0.607380 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 02913.bmp, PSNR, 24.804961, SSIM, 0.584855 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03083.bmp, PSNR, 25.841971, SSIM, 0.639546 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03581.bmp, PSNR, 30.961039, SSIM, 0.769681 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03766.bmp, PSNR, 26.834148, SSIM, 0.715708 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03907.bmp, PSNR, 28.060304, SSIM, 0.629815 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 04134.bmp, PSNR, 29.047949, SSIM, 0.672458 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 04576.bmp, PSNR, 28.118488, SSIM, 0.710540 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 04582.bmp, PSNR, 26.404873, SSIM, 0.745071 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 04694.bmp, PSNR, 28.673060, SSIM, 0.683338 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 04695.bmp, PSNR, 29.702449, SSIM, 0.705771 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 04699.bmp, PSNR, 29.792196, SSIM, 0.725578 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 00238.bmp, PSNR, 14.757526, SSIM, 0.357642 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 00467.bmp, PSNR, 26.872875, SSIM, 0.808746 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 00641.bmp, PSNR, 26.988327, SSIM, 0.704201 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 00766.bmp, PSNR, 25.809821, SSIM, 0.753252 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 00767.bmp, PSNR, 28.347955, SSIM, 0.707428 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 01034.bmp, PSNR, 31.980955, SSIM, 0.780051 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 01631.bmp, PSNR, 26.963029, SSIM, 0.728833 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 01660.bmp, PSNR, 28.742480, SSIM, 0.829455 
