Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00467.bmp, PSNR:25.759832, SSIM:0.786720 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00641.bmp, PSNR:26.539529, SSIM:0.709037 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00766.bmp, PSNR:24.463029, SSIM:0.762098 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00767.bmp, PSNR:28.981175, SSIM:0.792643 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01034.bmp, PSNR:37.131447, SSIM:0.931359 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01631.bmp, PSNR:26.588571, SSIM:0.723310 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01660.bmp, PSNR:28.429296, SSIM:0.837817 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02827.bmp, PSNR:29.717127, SSIM:0.854713 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02913.bmp, PSNR:25.446844, SSIM:0.656611 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03083.bmp, PSNR:27.931864, SSIM:0.859739 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03581.bmp, PSNR:34.829954, SSIM:0.907332 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03766.bmp, PSNR:28.508233, SSIM:0.817805 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03907.bmp, PSNR:30.393236, SSIM:0.775144 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04134.bmp, PSNR:37.776398, SSIM:0.957370 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04576.bmp, PSNR:34.230202, SSIM:0.943889 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04582.bmp, PSNR:27.285143, SSIM:0.831719 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04694.bmp, PSNR:33.472166, SSIM:0.901423 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04695.bmp, PSNR:33.293220, SSIM:0.859691 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04699.bmp, PSNR:32.789832, SSIM:0.860065 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00238.bmp, PSNR:29.584320, SSIM:0.942889 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00467.bmp, PSNR:31.951791, SSIM:0.935836 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00641.bmp, PSNR:30.971066, SSIM:0.880305 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00766.bmp, PSNR:29.892007, SSIM:0.897446 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:00767.bmp, PSNR:32.959697, SSIM:0.897330 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:01034.bmp, PSNR:41.419869, SSIM:0.968613 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:01631.bmp, PSNR:30.933725, SSIM:0.876407 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:01660.bmp, PSNR:35.274936, SSIM:0.958934 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:02827.bmp, PSNR:35.271901, SSIM:0.943516 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:02913.bmp, PSNR:28.984764, SSIM:0.830180 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:03083.bmp, PSNR:34.453013, SSIM:0.956279 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:03581.bmp, PSNR:40.053024, SSIM:0.963224 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:03766.bmp, PSNR:34.819292, SSIM:0.940656 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:03907.bmp, PSNR:33.795243, SSIM:0.879391 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:04134.bmp, PSNR:43.736030, SSIM:0.984167 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:04576.bmp, PSNR:40.285174, SSIM:0.976685 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:04582.bmp, PSNR:33.762982, SSIM:0.944667 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:04694.bmp, PSNR:39.069844, SSIM:0.965577 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:04695.bmp, PSNR:37.760592, SSIM:0.938864 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.250000, measure_model:Bernoulli,Image_name:04699.bmp, PSNR:36.732000, SSIM:0.932463 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:00238.bmp, PSNR:31.061829, SSIM:0.957340 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:00467.bmp, PSNR:33.368057, SSIM:0.952285 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:00641.bmp, PSNR:32.274399, SSIM:0.907913 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:00766.bmp, PSNR:31.345785, SSIM:0.919994 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:00767.bmp, PSNR:33.889045, SSIM:0.913195 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:01034.bmp, PSNR:42.545009, SSIM:0.975067 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:01631.bmp, PSNR:32.045549, SSIM:0.902062 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:01660.bmp, PSNR:36.981802, SSIM:0.971144 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:02827.bmp, PSNR:36.951030, SSIM:0.956795 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:02913.bmp, PSNR:29.975783, SSIM:0.863927 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:03083.bmp, PSNR:36.091348, SSIM:0.967447 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:03581.bmp, PSNR:41.630676, SSIM:0.973220 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:03766.bmp, PSNR:36.401311, SSIM:0.956797 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:03907.bmp, PSNR:34.630128, SSIM:0.896671 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:04134.bmp, PSNR:45.132225, SSIM:0.987478 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:04576.bmp, PSNR:41.751854, SSIM:0.981368 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:04582.bmp, PSNR:34.978987, SSIM:0.954882 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:04694.bmp, PSNR:40.592833, SSIM:0.974428 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:04695.bmp, PSNR:38.867527, SSIM:0.951210 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.300000, measure_model:Bernoulli,Image_name:04699.bmp, PSNR:37.829834, SSIM:0.945960 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:00238.bmp, PSNR:33.342114, SSIM:0.972964 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:00467.bmp, PSNR:36.153141, SSIM:0.973027 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:00641.bmp, PSNR:34.457057, SSIM:0.941238 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:00766.bmp, PSNR:33.484346, SSIM:0.944811 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:00767.bmp, PSNR:36.075954, SSIM:0.942532 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:01034.bmp, PSNR:44.518033, SSIM:0.983347 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:01631.bmp, PSNR:33.896330, SSIM:0.933433 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:01660.bmp, PSNR:39.684268, SSIM:0.983785 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:02827.bmp, PSNR:39.711153, SSIM:0.972080 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:02913.bmp, PSNR:31.985254, SSIM:0.911066 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:03083.bmp, PSNR:39.331885, SSIM:0.981026 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:03581.bmp, PSNR:44.322567, SSIM:0.984163 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.400000, measure_model:Bernoulli,Image_name:03766.bmp, PSNR:39.081816, SSIM:0.975529 
