Denoiser, BM3D, Rate, 0.050000, Image_name, 00191.bmp, PSNR, 30.124445, SSIM, 0.827673 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00209.bmp, PSNR, 30.487926, SSIM, 0.830229 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00221.bmp, PSNR, 22.550367, SSIM, 0.584092 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00310.bmp, PSNR, 26.196728, SSIM, 0.738462 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00348.bmp, PSNR, 18.423959, SSIM, 0.516918 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00510.bmp, PSNR, 24.294640, SSIM, 0.687606 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00566.bmp, PSNR, 29.165942, SSIM, 0.858594 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00639.bmp, PSNR, 19.640227, SSIM, 0.594863 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00643.bmp, PSNR, 20.821301, SSIM, 0.590565 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00760.bmp, PSNR, 22.146956, SSIM, 0.624014 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00835.bmp, PSNR, 24.979622, SSIM, 0.725961 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00910.bmp, PSNR, 22.756063, SSIM, 0.650326 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00927.bmp, PSNR, 24.281512, SSIM, 0.729699 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01673.bmp, PSNR, 27.874285, SSIM, 0.847460 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02947.bmp, PSNR, 24.044059, SSIM, 0.682121 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02955.bmp, PSNR, 32.589570, SSIM, 0.891812 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03191.bmp, PSNR, 19.324580, SSIM, 0.545162 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03294.bmp, PSNR, 22.550367, SSIM, 0.584092 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04001.bmp, PSNR, 20.336408, SSIM, 0.579953 
