Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00191.bmp, PSNR, 32.154197, SSIM, 0.880444 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00209.bmp, PSNR, 32.785895, SSIM, 0.885841 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00221.bmp, PSNR, 24.091912, SSIM, 0.670057 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00310.bmp, PSNR, 28.676819, SSIM, 0.827462 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00348.bmp, PSNR, 20.803591, SSIM, 0.670440 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00510.bmp, PSNR, 26.613706, SSIM, 0.776044 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00566.bmp, PSNR, 31.969191, SSIM, 0.919822 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00639.bmp, PSNR, 22.070310, SSIM, 0.759955 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00643.bmp, PSNR, 22.924681, SSIM, 0.710799 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00760.bmp, PSNR, 23.397574, SSIM, 0.694695 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00835.bmp, PSNR, 27.686600, SSIM, 0.810896 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00910.bmp, PSNR, 24.453502, SSIM, 0.737211 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00927.bmp, PSNR, 26.098006, SSIM, 0.792728 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01673.bmp, PSNR, 30.736662, SSIM, 0.907501 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02947.bmp, PSNR, 26.255986, SSIM, 0.771607 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02955.bmp, PSNR, 34.302819, SSIM, 0.922205 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03191.bmp, PSNR, 23.891407, SSIM, 0.772417 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03294.bmp, PSNR, 24.050983, SSIM, 0.665177 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04001.bmp, PSNR, 23.236750, SSIM, 0.727417 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04723.bmp, PSNR, 26.562860, SSIM, 0.850482 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00191.bmp, PSNR, 35.613262, SSIM, 0.926597 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00209.bmp, PSNR, 36.124372, SSIM, 0.933434 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00221.bmp, PSNR, 27.136175, SSIM, 0.795341 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00310.bmp, PSNR, 32.783202, SSIM, 0.914807 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00348.bmp, PSNR, 24.825612, SSIM, 0.815031 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00510.bmp, PSNR, 30.287661, SSIM, 0.868533 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00566.bmp, PSNR, 38.179681, SSIM, 0.974022 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00639.bmp, PSNR, 25.822401, SSIM, 0.869088 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00643.bmp, PSNR, 27.855630, SSIM, 0.865641 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00760.bmp, PSNR, 27.167544, SSIM, 0.835057 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00835.bmp, PSNR, 31.745750, SSIM, 0.892574 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00910.bmp, PSNR, 28.856232, SSIM, 0.875291 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00927.bmp, PSNR, 30.394722, SSIM, 0.890431 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01673.bmp, PSNR, 35.442660, SSIM, 0.954740 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02947.bmp, PSNR, 29.097320, SSIM, 0.858815 
