Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 2.tif, PSNR, 25.448367, SSIM, 0.713846 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 3.tif, PSNR, 24.962918, SSIM, 0.736697 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 4.tif, PSNR, 33.946112, SSIM, 0.901304 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 5.tif, PSNR, 32.715092, SSIM, 0.854676 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 6.tif, PSNR, 27.618522, SSIM, 0.810838 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 7.tif, PSNR, 24.579547, SSIM, 0.770009 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 8.tif, PSNR, 29.969731, SSIM, 0.861347 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 27.104336, SSIM, 0.806410 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 30.829896, SSIM, 0.878398 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 29.234632, SSIM, 0.845220 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 36.660926, SSIM, 0.933680 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 34.782820, SSIM, 0.882850 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 31.661659, SSIM, 0.897713 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 30.094988, SSIM, 0.912920 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 33.294816, SSIM, 0.906749 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 1.tif, PSNR, 30.246183, SSIM, 0.895603 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 2.tif, PSNR, 32.863452, SSIM, 0.913710 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 3.tif, PSNR, 30.651279, SSIM, 0.868883 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 4.tif, PSNR, 38.292162, SSIM, 0.947828 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 5.tif, PSNR, 36.097026, SSIM, 0.902887 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 6.tif, PSNR, 34.131736, SSIM, 0.930825 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 7.tif, PSNR, 32.706852, SSIM, 0.942959 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 8.tif, PSNR, 35.570584, SSIM, 0.933621 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 1.tif, PSNR, 32.601496, SSIM, 0.930879 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 2.tif, PSNR, 34.820446, SSIM, 0.939627 
