Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 03907.bmp, PSNR, 28.897436, SSIM, 0.699675 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 04134.bmp, PSNR, 30.116236, SSIM, 0.817678 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 04576.bmp, PSNR, 26.379891, SSIM, 0.720903 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 04582.bmp, PSNR, 23.369277, SSIM, 0.626465 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 04694.bmp, PSNR, 30.007692, SSIM, 0.801989 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 04695.bmp, PSNR, 30.599494, SSIM, 0.784008 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 04699.bmp, PSNR, 30.904077, SSIM, 0.804065 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00238.bmp, PSNR, 15.891907, SSIM, 0.423107 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00467.bmp, PSNR, 23.919170, SSIM, 0.672990 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00641.bmp, PSNR, 25.780300, SSIM, 0.630746 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00766.bmp, PSNR, 22.152890, SSIM, 0.565392 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00767.bmp, PSNR, 27.646028, SSIM, 0.702425 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 01034.bmp, PSNR, 35.326545, SSIM, 0.900352 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 01631.bmp, PSNR, 25.175959, SSIM, 0.628235 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 01660.bmp, PSNR, 27.109926, SSIM, 0.768978 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 02827.bmp, PSNR, 27.667179, SSIM, 0.710603 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 02913.bmp, PSNR, 25.008955, SSIM, 0.589685 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03083.bmp, PSNR, 25.307680, SSIM, 0.669249 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03581.bmp, PSNR, 32.351115, SSIM, 0.848404 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03766.bmp, PSNR, 26.247177, SSIM, 0.706419 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03907.bmp, PSNR, 29.493947, SSIM, 0.721963 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 04134.bmp, PSNR, 31.267484, SSIM, 0.837801 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 04576.bmp, PSNR, 27.534699, SSIM, 0.754402 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 04582.bmp, PSNR, 24.196134, SSIM, 0.652088 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 04694.bmp, PSNR, 30.993356, SSIM, 0.821990 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 04695.bmp, PSNR, 31.525677, SSIM, 0.805279 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 04699.bmp, PSNR, 31.698681, SSIM, 0.821786 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00238.bmp, PSNR, 16.669451, SSIM, 0.473816 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00467.bmp, PSNR, 24.802289, SSIM, 0.717253 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00641.bmp, PSNR, 26.443624, SSIM, 0.667799 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00766.bmp, PSNR, 22.820460, SSIM, 0.596314 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00767.bmp, PSNR, 28.313272, SSIM, 0.727890 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 01034.bmp, PSNR, 36.167846, SSIM, 0.911899 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 01631.bmp, PSNR, 25.785717, SSIM, 0.659346 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 01660.bmp, PSNR, 28.095231, SSIM, 0.803938 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 02827.bmp, PSNR, 28.350826, SSIM, 0.727562 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 02913.bmp, PSNR, 25.437457, SSIM, 0.619787 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 03083.bmp, PSNR, 25.933718, SSIM, 0.683279 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 03581.bmp, PSNR, 33.485967, SSIM, 0.867424 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 03766.bmp, PSNR, 27.091070, SSIM, 0.740492 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 03907.bmp, PSNR, 30.036440, SSIM, 0.740280 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 04134.bmp, PSNR, 32.679597, SSIM, 0.860702 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 04576.bmp, PSNR, 28.731924, SSIM, 0.785381 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 04582.bmp, PSNR, 24.905331, SSIM, 0.678405 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 04694.bmp, PSNR, 31.957088, SSIM, 0.842425 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 04695.bmp, PSNR, 32.124005, SSIM, 0.819177 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 04699.bmp, PSNR, 32.606088, SSIM, 0.843787 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00238.bmp, PSNR, 17.278834, SSIM, 0.514507 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00467.bmp, PSNR, 25.557974, SSIM, 0.745709 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00641.bmp, PSNR, 26.909556, SSIM, 0.693423 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00766.bmp, PSNR, 23.467175, SSIM, 0.624448 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 00767.bmp, PSNR, 28.875227, SSIM, 0.746891 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 01034.bmp, PSNR, 36.976062, SSIM, 0.921787 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 01631.bmp, PSNR, 26.318115, SSIM, 0.686200 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 01660.bmp, PSNR, 29.113193, SSIM, 0.835804 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 02827.bmp, PSNR, 28.957389, SSIM, 0.741583 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 02913.bmp, PSNR, 25.958470, SSIM, 0.650939 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 03083.bmp, PSNR, 26.741606, SSIM, 0.707119 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 03581.bmp, PSNR, 34.362190, SSIM, 0.881105 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 03766.bmp, PSNR, 28.053087, SSIM, 0.777798 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 03907.bmp, PSNR, 30.530084, SSIM, 0.758648 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 04134.bmp, PSNR, 33.805715, SSIM, 0.878533 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 04576.bmp, PSNR, 29.651847, SSIM, 0.805720 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 04582.bmp, PSNR, 25.689158, SSIM, 0.705769 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 04694.bmp, PSNR, 32.746607, SSIM, 0.858013 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 04695.bmp, PSNR, 32.875233, SSIM, 0.836949 
Denoiser, BCS-SPL, Rate, 0.300000, Image_name, 04699.bmp, PSNR, 33.278097, SSIM, 0.858631 
