1626.8,740.68,529.43,342.82,298.96,272.64,288.11,276.07,269.34,269.27,262.01,258.29,279.73,281.69,283.44,274.82,276.16,278.56,282.78,269.8,285.57,291.27,287.05,270.34,297.43,281.32,270.12,263.07,267.56,274.54,274.78
1682.4,768.43,515.15,331.95,279.45,243.88,256.17,240.12,232.75,221.56,211.17,203.79,215.43,214.26,207.32,210.81,224.97,228.45,228.14,220.64,224.4,219.64,233.36,225.89,229.75,221.79,222.25,212.53,221.36,228.03,241.23
1557.6,704.21,498.86,332.37,277.34,237.41,242.2,226.89,216.3,217.31,231.87,222.25,228.47,233.79,236.52,243.33,231.92,223.07,209.46,209.08,202.68,225.66,224.54,216.86,221.8,218.86,238.44,224.06,232.03,219.24,218.55
1991.6,733.23,474.65,260.74,178.32,126.76,113.64,100.97,97.07,91.744,87.873,88.881,95.504,95.892,93.543,89.457,90.061,90.806,88.988,86.128,88.407,87.507,90.821,86.66,89.431,94.317,89.549,90.27,93.866,91.731,90.268
1750.9,737.5,493.04,289.32,215.21,170.43,161.57,141.85,130.42,114.48,116.52,111.33,111.08,115.03,117.37,122.9,110,108.46,107.55,99.687,105.39,106.36,104,103.56,113.53,119.46,117.74,115.83,112.6,113.46,114.19
1595.8,752.83,545.49,326.98,273.92,224.21,217.76,209.92,204.17,200.46,209.83,202.08,208.29,218.03,229.9,211.19,215.27,216.16,220.25,214.82,219.76,221.53,224.47,206.59,204.71,213.84,200.29,198.6,196.51,202.69,212.1
1455.7,695.71,543.73,405.63,375.41,322.99,325.06,321.33,300.57,300.03,302.09,303.88,315.45,314.75,327.7,316.89,300.05,313.9,301.86,295.35,308.95,320.99,302.89,299.28,285.69,296.2,296.79,288.76,277.95,297.41,315.67
1640.1,725.2,506.49,334.61,276.78,229.11,226.11,217.95,190.97,177.82,171.14,177.99,194.34,208.62,212.55,206.68,191.33,189.85,188.75,170.21,184.69,192.86,196.69,194.14,213.76,199.11,186.41,173.26,174.33,186.54,196.23
633.41,154.15,113.76,76.785,64.436,56.941,57.058,54.832,52.436,50.232,51.536,50.728,51.166,50.94,50.762,50.097,50.124,50.976,50.951,50.6,52.053,53.085,52.951,49.917,50.195,49.267,48.513,48.012,48.865,48.836,49.72
653.84,152.24,101.34,68.565,58.75,51.166,50.343,48.192,46.389,44.751,44.471,42.747,43.523,43.744,43.293,43.507,43.807,44.607,45.466,44.139,44.89,43.609,43.663,43.262,43.968,43.439,42.692,42.372,43.156,43.148,44.504
616.68,154.38,99.48,68.938,59.109,52.115,52.13,50.743,50.264,48.335,49.761,47.807,48.382,49.783,50.724,51.743,51.843,49.92,48.925,49.232,49.689,49.605,50.839,49.809,49.246,48.5,50.979,50.993,50.349,51.442,51.471
761.36,131.94,63.849,34.342,26.002,21.98,20.809,20.531,20.167,19.966,20.225,19.885,20.192,20.451,20.516,20.32,20.018,20.419,20.093,20.048,20.234,19.87,20.359,19.948,20.765,20.384,20.16,19.976,20.266,20.4,20.948
673.9,135.44,67.002,37.558,27.837,25.156,24.315,23.612,22.769,23.336,23.22,22.943,22.461,22.696,22.822,23.33,22.881,22.753,22.675,21.931,22.463,22.909,22.889,22.623,23.255,23.534,23.334,22.736,22.773,22.257,23.399
627.75,149.81,102.86,67.212,54.772,48.681,45.328,42.075,40.65,41.153,43.456,41.839,42.514,42.933,43.497,43.552,42.731,41.971,42.996,42.685,42.695,42.978,43.504,41.27,42.124,42.672,42.078,41.368,40.578,41.416,41.547
582.22,184.22,134.95,87.644,68.504,57.687,53.83,50.182,49.61,49.216,50.454,50.366,50.931,52.291,52.046,51.05,52.398,52.711,50.741,50.005,51.733,50.029,49.696,48.609,48.562,48.116,48.124,46.809,48.041,49.803,51.464
