Denoiser, NLR-CS, Rate, 0.150000, Image_name, 02947.bmp, PSNR, 29.701844, SSIM, 0.869838 
Denoiser, NLR-CS, Rate, 0.150000, Image_name, 02955.bmp, PSNR, 39.554620, SSIM, 0.964782 
Denoiser, NLR-CS, Rate, 0.150000, Image_name, 03191.bmp, PSNR, 27.767828, SSIM, 0.883669 
Denoiser, NLR-CS, Rate, 0.150000, Image_name, 03294.bmp, PSNR, 26.477210, SSIM, 0.768743 
Denoiser, NLR-CS, Rate, 0.150000, Image_name, 04001.bmp, PSNR, 25.611810, SSIM, 0.827176 
Denoiser, NLR-CS, Rate, 0.150000, Image_name, 04723.bmp, PSNR, 30.772965, SSIM, 0.922177 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00191.bmp, PSNR, 37.996195, SSIM, 0.947325 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00209.bmp, PSNR, 38.615172, SSIM, 0.954143 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00221.bmp, PSNR, 28.103544, SSIM, 0.835011 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00310.bmp, PSNR, 35.895327, SSIM, 0.948908 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00348.bmp, PSNR, 25.232894, SSIM, 0.833864 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00510.bmp, PSNR, 32.534894, SSIM, 0.906308 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00566.bmp, PSNR, 41.317677, SSIM, 0.984093 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00639.bmp, PSNR, 26.845483, SSIM, 0.894457 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00643.bmp, PSNR, 28.243652, SSIM, 0.875845 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00760.bmp, PSNR, 29.238382, SSIM, 0.886341 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00835.bmp, PSNR, 33.982353, SSIM, 0.920494 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00910.bmp, PSNR, 32.119330, SSIM, 0.910471 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 00927.bmp, PSNR, 32.711125, SSIM, 0.920309 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 01673.bmp, PSNR, 38.779667, SSIM, 0.972976 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 02947.bmp, PSNR, 31.392468, SSIM, 0.903218 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 02955.bmp, PSNR, 41.634024, SSIM, 0.974810 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 03191.bmp, PSNR, 30.346451, SSIM, 0.924325 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 03294.bmp, PSNR, 28.055457, SSIM, 0.829898 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 04001.bmp, PSNR, 27.623803, SSIM, 0.878126 
Denoiser, NLR-CS, Rate, 0.200000, Image_name, 04723.bmp, PSNR, 33.832953, SSIM, 0.949757 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00191.bmp, PSNR, 39.658459, SSIM, 0.961108 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00209.bmp, PSNR, 40.226487, SSIM, 0.966235 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00221.bmp, PSNR, 29.889486, SSIM, 0.883788 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00310.bmp, PSNR, 37.857710, SSIM, 0.963702 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00348.bmp, PSNR, 26.188792, SSIM, 0.858235 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00510.bmp, PSNR, 34.684940, SSIM, 0.938036 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00566.bmp, PSNR, 43.503896, SSIM, 0.989505 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00639.bmp, PSNR, 28.181437, SSIM, 0.915941 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00643.bmp, PSNR, 29.756908, SSIM, 0.901675 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00760.bmp, PSNR, 30.878356, SSIM, 0.916069 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00835.bmp, PSNR, 35.551063, SSIM, 0.937368 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00910.bmp, PSNR, 34.238214, SSIM, 0.935937 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 00927.bmp, PSNR, 34.484984, SSIM, 0.940984 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 01673.bmp, PSNR, 40.502939, SSIM, 0.979461 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 02947.bmp, PSNR, 33.015966, SSIM, 0.929612 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 02955.bmp, PSNR, 43.357657, SSIM, 0.981623 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 03191.bmp, PSNR, 32.271095, SSIM, 0.945688 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 03294.bmp, PSNR, 29.848010, SSIM, 0.881077 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 04001.bmp, PSNR, 28.990081, SSIM, 0.902034 
Denoiser, NLR-CS, Rate, 0.250000, Image_name, 04723.bmp, PSNR, 35.794279, SSIM, 0.963237 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00191.bmp, PSNR, 40.688193, SSIM, 0.968789 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00209.bmp, PSNR, 41.391925, SSIM, 0.973352 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00221.bmp, PSNR, 30.658049, SSIM, 0.899234 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00310.bmp, PSNR, 39.414430, SSIM, 0.972114 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00348.bmp, PSNR, 26.312469, SSIM, 0.856410 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00510.bmp, PSNR, 36.225383, SSIM, 0.956631 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00566.bmp, PSNR, 45.411876, SSIM, 0.992640 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00639.bmp, PSNR, 28.377649, SSIM, 0.914197 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00643.bmp, PSNR, 30.078621, SSIM, 0.903544 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00760.bmp, PSNR, 31.420750, SSIM, 0.927008 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00835.bmp, PSNR, 36.498086, SSIM, 0.945903 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00910.bmp, PSNR, 35.143034, SSIM, 0.944372 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 00927.bmp, PSNR, 35.398326, SSIM, 0.948363 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 01673.bmp, PSNR, 42.022126, SSIM, 0.984585 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 02947.bmp, PSNR, 34.626292, SSIM, 0.949214 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 02955.bmp, PSNR, 44.853336, SSIM, 0.985680 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 03191.bmp, PSNR, 32.676258, SSIM, 0.949557 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 03294.bmp, PSNR, 30.572109, SSIM, 0.899386 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 04001.bmp, PSNR, 29.084086, SSIM, 0.903682 
Denoiser, NLR-CS, Rate, 0.300000, Image_name, 04723.bmp, PSNR, 36.684331, SSIM, 0.969402 
