Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00170.bmp, PSNR, 29.133525, SSIM, 0.813936 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00228.bmp, PSNR, 33.298000, SSIM, 0.848038 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00232.bmp, PSNR, 30.938264, SSIM, 0.886602 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00242.bmp, PSNR, 25.998484, SSIM, 0.576866 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00244.bmp, PSNR, 23.565922, SSIM, 0.624807 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00246.bmp, PSNR, 39.069341, SSIM, 0.978423 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00249.bmp, PSNR, 24.482806, SSIM, 0.662211 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00258.bmp, PSNR, 33.251553, SSIM, 0.946919 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00415.bmp, PSNR, 21.873479, SSIM, 0.727392 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00471.bmp, PSNR, 29.662731, SSIM, 0.833638 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00559.bmp, PSNR, 26.716430, SSIM, 0.795009 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00560.bmp, PSNR, 23.439494, SSIM, 0.636899 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00733.bmp, PSNR, 24.926842, SSIM, 0.793695 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01279.bmp, PSNR, 22.410880, SSIM, 0.683986 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01790.bmp, PSNR, 22.756141, SSIM, 0.783735 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03133.bmp, PSNR, 26.612341, SSIM, 0.823597 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03349.bmp, PSNR, 26.305406, SSIM, 0.802026 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03407.bmp, PSNR, 24.657824, SSIM, 0.701282 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03784.bmp, PSNR, 23.642617, SSIM, 0.691373 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04702.bmp, PSNR, 23.338788, SSIM, 0.699056 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00170.bmp, PSNR, 32.034781, SSIM, 0.868805 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00228.bmp, PSNR, 35.938614, SSIM, 0.894332 
