22.724,29.88,34.442,36.433,37.286,37.693,37.881,37.976,38.028,38.056,38.065,38.073,38.076,38.078,38.08,38.081,38.081,38.081,38.08,38.081,38.08
24.144,30.831,35.007,36.896,37.769,38.178,38.36,38.437,38.471,38.492,38.506,38.52,38.524,38.528,38.528,38.528,38.528,38.525,38.523,38.529,38.529
22.421,28.497,32.582,34.901,35.991,36.633,36.985,37.183,37.271,37.331,37.355,37.371,37.381,37.387,37.39,37.398,37.398,37.394,37.395,37.403,37.407
16.893,21.103,25.338,27.876,29.342,30.311,30.894,31.287,31.541,31.703,31.807,31.887,31.936,31.972,31.997,32.011,32.02,32.025,32.029,32.032,32.034
20.452,27.082,31.964,34.63,35.718,36.287,36.558,36.706,36.769,36.812,36.831,36.842,36.845,36.848,36.848,36.85,36.85,36.851,36.853,36.855,36.855
19.186,25.59,30.138,32.807,34.433,35.187,35.661,35.923,36.101,36.2,36.265,36.304,36.329,36.344,36.35,36.358,36.361,36.364,36.368,36.371,36.373
21.389,28.875,34.446,37.181,38.492,39.111,39.4,39.524,39.573,39.597,39.606,39.609,39.61,39.61,39.61,39.61,39.611,39.611,39.611,39.611,39.611
17.074,22.468,26.618,29.236,30.928,32.042,32.799,33.287,33.633,33.86,34.015,34.111,34.177,34.216,34.241,34.255,34.267,34.275,34.279,34.279,34.281
19.254,24.173,28.451,31.181,32.884,33.901,34.476,34.667,34.78,34.843,34.865,34.881,34.886,34.889,34.887,34.887,34.888,34.889,34.889,34.889,34.889
17.868,23.843,27.824,30.23,31.658,32.545,33.097,33.462,33.693,33.842,33.932,33.983,34.017,34.036,34.047,34.054,34.059,34.062,34.064,33.945,33.869
20.071,26.402,31.156,33.727,35.108,35.719,36.058,36.243,36.343,36.396,36.421,36.433,36.437,36.441,36.442,36.443,36.443,36.444,36.445,36.446,36.446
21.25,25.624,29.707,32.236,33.74,34.654,35.107,35.383,35.548,35.648,35.703,35.736,35.764,35.782,35.789,35.792,35.796,35.798,35.802,35.808,35.811
20.202,25.039,29.724,32.433,33.959,34.752,35.109,35.292,35.403,35.47,35.507,35.531,35.544,35.552,35.552,35.552,35.553,35.552,35.552,35.554,35.555
21.059,28.234,33.478,36.159,37.289,37.87,38.17,38.305,38.365,38.4,38.412,38.425,38.428,38.428,38.424,38.426,38.424,38.426,38.427,38.43,38.43
19.363,25.82,29.732,31.776,32.932,33.586,33.892,34.066,34.165,34.216,34.247,34.262,34.274,34.283,34.288,34.291,34.291,34.292,34.295,34.296,34.298
24.425,31.111,35.916,38.065,39.012,39.422,39.6,39.66,39.681,39.693,39.697,39.699,39.699,39.698,39.699,39.699,39.698,39.699,39.699,39.698,39.699
18.055,23.487,28.552,31.632,33.382,34.333,34.712,34.931,35.056,35.126,35.161,35.179,35.186,35.194,35.198,35.202,35.204,35.202,35.204,35.207,35.208
