Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00170.bmp, PSNR, 27.539624, SSIM, 0.768441 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00228.bmp, PSNR, 32.588640, SSIM, 0.835560 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00232.bmp, PSNR, 29.502144, SSIM, 0.848493 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00242.bmp, PSNR, 25.341056, SSIM, 0.541853 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00244.bmp, PSNR, 22.307061, SSIM, 0.554455 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00246.bmp, PSNR, 35.195253, SSIM, 0.952487 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00249.bmp, PSNR, 23.373194, SSIM, 0.610043 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00258.bmp, PSNR, 30.648602, SSIM, 0.911215 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00415.bmp, PSNR, 19.275401, SSIM, 0.586044 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00471.bmp, PSNR, 28.309008, SSIM, 0.786878 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00559.bmp, PSNR, 24.565791, SSIM, 0.681557 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00560.bmp, PSNR, 22.478719, SSIM, 0.586970 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00733.bmp, PSNR, 20.721207, SSIM, 0.552570 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01279.bmp, PSNR, 20.742637, SSIM, 0.565789 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01790.bmp, PSNR, 19.919309, SSIM, 0.630411 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03133.bmp, PSNR, 24.388857, SSIM, 0.713227 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03349.bmp, PSNR, 24.020269, SSIM, 0.685876 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03407.bmp, PSNR, 23.588104, SSIM, 0.635838 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03784.bmp, PSNR, 22.304517, SSIM, 0.603739 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04702.bmp, PSNR, 21.229430, SSIM, 0.572114 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00170.bmp, PSNR, 30.985019, SSIM, 0.843730 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00228.bmp, PSNR, 34.817389, SSIM, 0.867226 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00232.bmp, PSNR, 33.840119, SSIM, 0.923369 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00242.bmp, PSNR, 27.173614, SSIM, 0.639595 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00244.bmp, PSNR, 25.672022, SSIM, 0.703063 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00246.bmp, PSNR, 41.163239, SSIM, 0.982029 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00249.bmp, PSNR, 26.089824, SSIM, 0.726360 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00258.bmp, PSNR, 35.472991, SSIM, 0.958926 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00415.bmp, PSNR, 25.812375, SSIM, 0.848263 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00471.bmp, PSNR, 31.977489, SSIM, 0.876804 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00559.bmp, PSNR, 28.707126, SSIM, 0.848904 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00560.bmp, PSNR, 25.956854, SSIM, 0.724797 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00733.bmp, PSNR, 27.040768, SSIM, 0.833789 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01279.bmp, PSNR, 24.626928, SSIM, 0.768775 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01790.bmp, PSNR, 25.426125, SSIM, 0.843744 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03133.bmp, PSNR, 28.868014, SSIM, 0.864957 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03349.bmp, PSNR, 29.608917, SSIM, 0.875445 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03407.bmp, PSNR, 26.852483, SSIM, 0.780516 
