Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00171.bmp, PSNR, 30.330832, SSIM, 0.878617 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00173.bmp, PSNR, 23.547712, SSIM, 0.645990 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00180.bmp, PSNR, 16.480174, SSIM, 0.268967 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00598.bmp, PSNR, 25.113148, SSIM, 0.797142 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00602.bmp, PSNR, 23.856672, SSIM, 0.657462 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00604.bmp, PSNR, 22.675933, SSIM, 0.503318 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00741.bmp, PSNR, 21.461278, SSIM, 0.513108 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00790.bmp, PSNR, 30.781508, SSIM, 0.918866 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00880.bmp, PSNR, 20.722070, SSIM, 0.537736 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00892.bmp, PSNR, 16.967390, SSIM, 0.428276 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00986.bmp, PSNR, 27.017425, SSIM, 0.770661 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01544.bmp, PSNR, 17.083386, SSIM, 0.421249 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01594.bmp, PSNR, 22.273196, SSIM, 0.565283 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03266.bmp, PSNR, 35.381193, SSIM, 0.916642 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03275.bmp, PSNR, 21.450364, SSIM, 0.581761 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03499.bmp, PSNR, 34.553392, SSIM, 0.907254 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03906.bmp, PSNR, 27.868965, SSIM, 0.732325 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04076.bmp, PSNR, 21.392224, SSIM, 0.600463 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04519.bmp, PSNR, 18.462544, SSIM, 0.433102 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04735.bmp, PSNR, 28.868246, SSIM, 0.800334 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00171.bmp, PSNR, 34.278810, SSIM, 0.933914 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00173.bmp, PSNR, 27.337035, SSIM, 0.774430 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00180.bmp, PSNR, 19.233216, SSIM, 0.582163 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00598.bmp, PSNR, 31.854889, SSIM, 0.931997 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00602.bmp, PSNR, 27.436776, SSIM, 0.828861 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00604.bmp, PSNR, 25.074081, SSIM, 0.651241 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00741.bmp, PSNR, 23.766679, SSIM, 0.656273 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00790.bmp, PSNR, 36.544004, SSIM, 0.966391 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00880.bmp, PSNR, 24.939895, SSIM, 0.755756 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00892.bmp, PSNR, 22.426402, SSIM, 0.760973 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00986.bmp, PSNR, 31.415378, SSIM, 0.897493 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01544.bmp, PSNR, 21.592930, SSIM, 0.712530 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01594.bmp, PSNR, 25.214818, SSIM, 0.696201 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03266.bmp, PSNR, 38.523969, SSIM, 0.944403 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03275.bmp, PSNR, 24.676023, SSIM, 0.747642 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03499.bmp, PSNR, 38.107585, SSIM, 0.941447 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03906.bmp, PSNR, 31.366929, SSIM, 0.842186 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 04076.bmp, PSNR, 23.994656, SSIM, 0.715442 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 04519.bmp, PSNR, 20.060040, SSIM, 0.548272 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 04735.bmp, PSNR, 32.511910, SSIM, 0.885138 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 00171.bmp, PSNR, 36.861102, SSIM, 0.955529 
