RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00835.bmp, 24.577355, 0.591786 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00910.bmp, 22.067438, 0.472883 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00927.bmp, 23.623525, 0.578410 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01673.bmp, 26.061875, 0.724056 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02947.bmp, 24.478328, 0.602005 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02955.bmp, 30.278819, 0.759721 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03191.bmp, 21.432838, 0.581469 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03294.bmp, 22.028915, 0.490422 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04001.bmp, 20.436647, 0.458775 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04723.bmp, 24.099142, 0.588649 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00689.bmp, 21.079748, 0.416458 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00705.bmp, 33.675620, 0.855790 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01043.bmp, 23.733353, 0.487839 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01048.bmp, 29.286103, 0.674221 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01276.bmp, 37.961966, 0.932928 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01283.bmp, 14.988230, 0.206017 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01706.bmp, 23.701249, 0.459848 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02315.bmp, 23.698069, 0.450044 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02817.bmp, 34.953354, 0.844042 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02830.bmp, 29.440723, 0.690198 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02831.bmp, 17.672584, 0.339206 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02832.bmp, 30.264930, 0.717718 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02917.bmp, 20.270442, 0.369941 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03337.bmp, 22.763132, 0.477579 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03400.bmp, 25.785510, 0.582899 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03403.bmp, 26.514595, 0.602905 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03439.bmp, 21.196999, 0.427033 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03589.bmp, 18.398245, 0.364730 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04208.bmp, 17.102942, 0.319412 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04733.bmp, 24.578584, 0.553640 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00524.bmp, 23.865848, 0.502758 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00548.bmp, 26.220703, 0.637814 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00794.bmp, 22.995946, 0.559303 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01078.bmp, 20.507707, 0.496684 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01102.bmp, 23.439801, 0.524554 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01112.bmp, 21.750797, 0.414357 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01792.bmp, 26.220703, 0.637814 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01847.bmp, 20.113644, 0.465209 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01888.bmp, 26.082403, 0.636518 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02309.bmp, 30.138652, 0.731706 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02514.bmp, 19.050769, 0.317896 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02515.bmp, 25.723094, 0.535153 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03143.bmp, 20.520027, 0.521997 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03152.bmp, 21.890285, 0.459417 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03168.bmp, 21.156103, 0.397795 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03584.bmp, 20.388691, 0.409843 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03848.bmp, 33.271621, 0.833272 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03896.bmp, 29.434144, 0.703038 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04224.bmp, 17.668055, 0.306279 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04474.bmp, 21.611948, 0.472264 
