RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00835.bmp, 22.873893, 0.539198 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00910.bmp, 21.886573, 0.446967 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00927.bmp, 22.786709, 0.557733 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01673.bmp, 25.674392, 0.703164 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02947.bmp, 23.751169, 0.597985 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02955.bmp, 29.393649, 0.778917 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03191.bmp, 20.346988, 0.556971 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03294.bmp, 21.735227, 0.486596 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04001.bmp, 19.281572, 0.411901 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04723.bmp, 21.299778, 0.457366 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00689.bmp, 20.857488, 0.390788 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00705.bmp, 29.547044, 0.755967 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01043.bmp, 22.190285, 0.381625 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01048.bmp, 26.560869, 0.537762 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01276.bmp, 39.100954, 0.947041 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01283.bmp, 14.674077, 0.212007 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01706.bmp, 22.011366, 0.368881 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02315.bmp, 23.305186, 0.423767 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02817.bmp, 33.745347, 0.822608 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02830.bmp, 29.529196, 0.732269 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02831.bmp, 17.749571, 0.352167 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02832.bmp, 26.952574, 0.614574 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02917.bmp, 20.259727, 0.369673 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03337.bmp, 21.581072, 0.418048 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03400.bmp, 26.352414, 0.586335 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03403.bmp, 26.575939, 0.577072 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03439.bmp, 21.415450, 0.455299 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03589.bmp, 16.945509, 0.270336 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04208.bmp, 17.305484, 0.339735 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04733.bmp, 23.387984, 0.493300 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00524.bmp, 23.821752, 0.503503 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00548.bmp, 27.640613, 0.695865 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00794.bmp, 22.738995, 0.578663 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01078.bmp, 19.968582, 0.479170 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01102.bmp, 20.840508, 0.409446 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01112.bmp, 21.237242, 0.396236 
