RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00760.bmp, 16.529354, 0.229930 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00835.bmp, 17.788685, 0.246215 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00910.bmp, 16.033811, 0.159289 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00927.bmp, 16.592047, 0.212421 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01673.bmp, 17.883056, 0.261723 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02947.bmp, 17.365421, 0.246139 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02955.bmp, 21.092029, 0.295687 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03191.bmp, 14.037660, 0.213153 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03294.bmp, 17.521121, 0.243341 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04001.bmp, 15.749810, 0.206155 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04723.bmp, 15.977804, 0.200560 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00689.bmp, 18.078685, 0.260887 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00705.bmp, 21.954835, 0.248119 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01043.bmp, 21.366158, 0.317048 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01048.bmp, 20.864393, 0.269767 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01276.bmp, 26.266471, 0.385761 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01283.bmp, 14.397056, 0.189785 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01706.bmp, 21.120230, 0.291310 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02315.bmp, 20.699529, 0.305689 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02817.bmp, 26.342924, 0.367730 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02830.bmp, 23.251263, 0.306562 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02831.bmp, 15.762980, 0.232402 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02832.bmp, 22.539857, 0.278096 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02917.bmp, 18.601355, 0.266642 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03337.bmp, 18.487082, 0.273651 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03400.bmp, 21.867911, 0.300746 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03403.bmp, 21.787961, 0.264543 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03439.bmp, 18.315805, 0.263655 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03589.bmp, 15.793032, 0.214349 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04208.bmp, 15.581036, 0.223772 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04733.bmp, 20.117532, 0.276169 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00524.bmp, 20.389967, 0.291978 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00548.bmp, 21.038502, 0.287530 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00794.bmp, 16.220889, 0.211929 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01078.bmp, 15.797771, 0.214963 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01102.bmp, 18.289502, 0.274983 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01112.bmp, 18.876917, 0.255353 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01792.bmp, 21.038502, 0.287530 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01847.bmp, 15.635533, 0.214492 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01888.bmp, 19.163033, 0.238952 
