Denoiser, BM3D, Rate, 0.300000, Image_name, 4.tif, PSNR, 41.317954, SSIM, 0.969030 
Denoiser, BM3D, Rate, 0.300000, Image_name, 5.tif, PSNR, 40.095354, SSIM, 0.958707 
Denoiser, BM3D, Rate, 0.300000, Image_name, 6.tif, PSNR, 38.356404, SSIM, 0.966434 
Denoiser, BM3D, Rate, 0.300000, Image_name, 7.tif, PSNR, 35.589235, SSIM, 0.964982 
Denoiser, BM3D, Rate, 0.300000, Image_name, 8.tif, PSNR, 38.813193, SSIM, 0.959817 
Denoiser, BM3D, Rate, 0.100000, Image_name, 1.tif, PSNR, 29.759653, SSIM, 0.877793 
Denoiser, BM3D, Rate, 0.100000, Image_name, 2.tif, PSNR, 30.195461, SSIM, 0.863638 
Denoiser, BM3D, Rate, 0.100000, Image_name, 3.tif, PSNR, 28.449596, SSIM, 0.824682 
Denoiser, BM3D, Rate, 0.100000, Image_name, 4.tif, PSNR, 36.427913, SSIM, 0.930207 
Denoiser, BM3D, Rate, 0.100000, Image_name, 5.tif, PSNR, 35.243301, SSIM, 0.892589 
Denoiser, BM3D, Rate, 0.100000, Image_name, 6.tif, PSNR, 30.222465, SSIM, 0.873042 
Denoiser, BM3D, Rate, 0.100000, Image_name, 7.tif, PSNR, 28.051849, SSIM, 0.881118 
Denoiser, BM3D, Rate, 0.100000, Image_name, 8.tif, PSNR, 32.575227, SSIM, 0.900492 
