Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 5.tif, PSNR, 38.440613, SSIM, 0.938654 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 6.tif, PSNR, 38.034619, SSIM, 0.963894 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 7.tif, PSNR, 36.787620, SSIM, 0.969338 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 8.tif, PSNR, 38.673088, SSIM, 0.958981 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 1.tif, PSNR, 35.965306, SSIM, 0.962114 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 2.tif, PSNR, 38.130812, SSIM, 0.965613 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 3.tif, PSNR, 36.303028, SSIM, 0.947966 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 4.tif, PSNR, 42.303255, SSIM, 0.974680 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 5.tif, PSNR, 39.230861, SSIM, 0.947129 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 6.tif, PSNR, 39.461589, SSIM, 0.971622 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 7.tif, PSNR, 38.317310, SSIM, 0.975377 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 8.tif, PSNR, 39.641190, SSIM, 0.964492 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 26.482705, SSIM, 0.771351 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 30.213955, SSIM, 0.862320 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 29.204393, SSIM, 0.843157 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 36.809089, SSIM, 0.934659 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 35.032205, SSIM, 0.884861 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 31.286559, SSIM, 0.889502 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 29.362239, SSIM, 0.899885 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 33.533287, SSIM, 0.911468 
