Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00510.bmp, PSNR, 33.254808, SSIM, 0.924078 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00566.bmp, PSNR, 40.399312, SSIM, 0.982658 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00639.bmp, PSNR, 28.856510, SSIM, 0.926033 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00643.bmp, PSNR, 31.055690, SSIM, 0.916430 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00760.bmp, PSNR, 29.752889, SSIM, 0.897664 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00835.bmp, PSNR, 34.324326, SSIM, 0.926154 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00910.bmp, PSNR, 32.099931, SSIM, 0.928868 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00927.bmp, PSNR, 32.865426, SSIM, 0.925423 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01673.bmp, PSNR, 37.691005, SSIM, 0.968473 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02947.bmp, PSNR, 31.231100, SSIM, 0.902288 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02955.bmp, PSNR, 40.696644, SSIM, 0.972990 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03191.bmp, PSNR, 32.449555, SSIM, 0.945093 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03294.bmp, PSNR, 29.130344, SSIM, 0.860075 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 04001.bmp, PSNR, 30.619086, SSIM, 0.926849 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 04723.bmp, PSNR, 34.299076, SSIM, 0.956972 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00191.bmp, PSNR, 38.904851, SSIM, 0.957477 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00209.bmp, PSNR, 39.712453, SSIM, 0.964204 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00310.bmp, PSNR, 37.131634, SSIM, 0.959613 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00348.bmp, PSNR, 29.159526, SSIM, 0.912039 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00356.bmp, PSNR, 36.854164, SSIM, 0.952150 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00510.bmp, PSNR, 35.668963, SSIM, 0.952161 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00566.bmp, PSNR, 42.750058, SSIM, 0.988283 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00639.bmp, PSNR, 31.422138, SSIM, 0.951487 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00643.bmp, PSNR, 33.528261, SSIM, 0.945658 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00760.bmp, PSNR, 31.820768, SSIM, 0.931175 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00835.bmp, PSNR, 35.853828, SSIM, 0.941178 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00910.bmp, PSNR, 34.426972, SSIM, 0.954552 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00927.bmp, PSNR, 34.724375, SSIM, 0.943969 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 01673.bmp, PSNR, 39.509467, SSIM, 0.976337 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 02947.bmp, PSNR, 33.039243, SSIM, 0.931567 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 02955.bmp, PSNR, 42.449961, SSIM, 0.979709 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 03191.bmp, PSNR, 34.515109, SSIM, 0.962461 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 03294.bmp, PSNR, 30.918047, SSIM, 0.902824 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 04001.bmp, PSNR, 32.901836, SSIM, 0.952232 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 04723.bmp, PSNR, 36.066196, SSIM, 0.966728 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00191.bmp, PSNR, 40.199299, SSIM, 0.966442 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00209.bmp, PSNR, 40.939871, SSIM, 0.971910 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00310.bmp, PSNR, 39.012061, SSIM, 0.970424 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00348.bmp, PSNR, 31.068425, SSIM, 0.937307 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00356.bmp, PSNR, 38.297484, SSIM, 0.962836 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00510.bmp, PSNR, 37.137650, SSIM, 0.963374 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00566.bmp, PSNR, 44.687852, SSIM, 0.991773 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00639.bmp, PSNR, 33.751242, SSIM, 0.968740 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00643.bmp, PSNR, 35.066777, SSIM, 0.955072 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00760.bmp, PSNR, 33.861534, SSIM, 0.954502 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00835.bmp, PSNR, 37.405881, SSIM, 0.954374 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00910.bmp, PSNR, 36.120355, SSIM, 0.964803 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00927.bmp, PSNR, 36.010939, SSIM, 0.953404 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 01673.bmp, PSNR, 41.008306, SSIM, 0.982035 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 02947.bmp, PSNR, 34.378807, SSIM, 0.947150 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 02955.bmp, PSNR, 44.024630, SSIM, 0.984583 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 03191.bmp, PSNR, 35.561215, SSIM, 0.968453 
