Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01283.bmp, PSNR, 17.695864, SSIM, 0.460250 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01706.bmp, PSNR, 27.647880, SSIM, 0.744096 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02315.bmp, PSNR, 27.033536, SSIM, 0.675271 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02817.bmp, PSNR, 39.781406, SSIM, 0.945475 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02830.bmp, PSNR, 37.048658, SSIM, 0.940393 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02831.bmp, PSNR, 21.216020, SSIM, 0.644841 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02832.bmp, PSNR, 35.748637, SSIM, 0.913656 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02917.bmp, PSNR, 24.467274, SSIM, 0.664370 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03337.bmp, PSNR, 26.916587, SSIM, 0.789207 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03400.bmp, PSNR, 31.196871, SSIM, 0.828974 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03403.bmp, PSNR, 31.699076, SSIM, 0.850319 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03439.bmp, PSNR, 26.911279, SSIM, 0.796705 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03589.bmp, PSNR, 23.115208, SSIM, 0.713459 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 04208.bmp, PSNR, 20.740778, SSIM, 0.648665 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 04733.bmp, PSNR, 31.761635, SSIM, 0.928991 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00689.bmp, PSNR, 25.190138, SSIM, 0.722264 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00705.bmp, PSNR, 43.885672, SSIM, 0.984572 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 01043.bmp, PSNR, 30.153992, SSIM, 0.881184 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 01048.bmp, PSNR, 37.393677, SSIM, 0.937303 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 01276.bmp, PSNR, 50.620730, SSIM, 0.993488 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 01283.bmp, PSNR, 18.629221, SSIM, 0.545366 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 01706.bmp, PSNR, 28.901109, SSIM, 0.792040 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 02315.bmp, PSNR, 28.022079, SSIM, 0.734883 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 02817.bmp, PSNR, 41.115304, SSIM, 0.957702 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 02830.bmp, PSNR, 38.815648, SSIM, 0.956558 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 02831.bmp, PSNR, 22.389539, SSIM, 0.720809 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 02832.bmp, PSNR, 36.981046, SSIM, 0.929495 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 02917.bmp, PSNR, 25.647290, SSIM, 0.732919 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 03337.bmp, PSNR, 28.086436, SSIM, 0.834578 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 03400.bmp, PSNR, 32.562332, SSIM, 0.869009 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 03403.bmp, PSNR, 32.874892, SSIM, 0.880088 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 03439.bmp, PSNR, 28.344066, SSIM, 0.843413 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 03589.bmp, PSNR, 24.581915, SSIM, 0.790142 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 04208.bmp, PSNR, 21.624874, SSIM, 0.702409 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 04733.bmp, PSNR, 34.251546, SSIM, 0.955142 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00689.bmp, PSNR, 25.906100, SSIM, 0.763091 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 00705.bmp, PSNR, 45.446551, SSIM, 0.987915 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 01043.bmp, PSNR, 31.291545, SSIM, 0.900220 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 01048.bmp, PSNR, 38.860638, SSIM, 0.953755 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 01276.bmp, PSNR, 51.117215, SSIM, 0.994023 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 01283.bmp, PSNR, 19.475116, SSIM, 0.603418 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 01706.bmp, PSNR, 29.915894, SSIM, 0.825123 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 02315.bmp, PSNR, 28.995998, SSIM, 0.785263 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 02817.bmp, PSNR, 42.106404, SSIM, 0.964748 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 02830.bmp, PSNR, 40.413714, SSIM, 0.967110 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 02831.bmp, PSNR, 23.463697, SSIM, 0.776808 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 02832.bmp, PSNR, 38.366577, SSIM, 0.944029 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 02917.bmp, PSNR, 26.666775, SSIM, 0.778948 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 03337.bmp, PSNR, 29.503779, SSIM, 0.872420 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 03400.bmp, PSNR, 33.914362, SSIM, 0.899341 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 03403.bmp, PSNR, 34.045159, SSIM, 0.904837 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 03439.bmp, PSNR, 29.684501, SSIM, 0.876345 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 03589.bmp, PSNR, 25.906776, SSIM, 0.834667 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 04208.bmp, PSNR, 22.648503, SSIM, 0.761597 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.250000, Image_name, 04733.bmp, PSNR, 35.744117, SSIM, 0.965247 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 00689.bmp, PSNR, 26.845323, SSIM, 0.805671 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 00705.bmp, PSNR, 46.795056, SSIM, 0.990156 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 01043.bmp, PSNR, 32.638643, SSIM, 0.921455 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 01048.bmp, PSNR, 40.385152, SSIM, 0.965196 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 01276.bmp, PSNR, 51.794675, SSIM, 0.994838 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 01283.bmp, PSNR, 20.289987, SSIM, 0.664362 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 01706.bmp, PSNR, 30.783774, SSIM, 0.849071 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 02315.bmp, PSNR, 29.815355, SSIM, 0.821273 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 02817.bmp, PSNR, 43.226161, SSIM, 0.971674 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 02830.bmp, PSNR, 41.562691, SSIM, 0.973640 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 02831.bmp, PSNR, 24.530886, SSIM, 0.819794 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 02832.bmp, PSNR, 39.494795, SSIM, 0.954225 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 02917.bmp, PSNR, 27.591298, SSIM, 0.816866 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 03337.bmp, PSNR, 30.726082, SSIM, 0.900895 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 03400.bmp, PSNR, 34.840184, SSIM, 0.915126 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 03403.bmp, PSNR, 35.121271, SSIM, 0.923382 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 03439.bmp, PSNR, 31.078434, SSIM, 0.904298 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 03589.bmp, PSNR, 27.212534, SSIM, 0.870355 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 04208.bmp, PSNR, 23.571180, SSIM, 0.802656 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.300000, Image_name, 04733.bmp, PSNR, 37.551450, SSIM, 0.975137 
